organism,5,4,3,2,1,unique_sequences,amount_of_duplicates
Homo_sapiens,83358,82796,75687,73817,72830,72642,188
Mus_musculus,54728,54720,46535,43458,38319,38296,23
Rattus_norvegicus,47900,47898,36160,24635,20698,20694,4
Dario_rerio,46866,46866,31483,20680,14056,14032,24
Daphnia_magna,26600,26600,5807,334,0,0,0
Caenorhabditis_elegans,26684,26678,15143,11866,10985,10983,2
Drosophila_Melanogaster,21999,21999,17204,14661,8648,8459,189
Arabidopsis_thaliana,39200,39084,33529,30882,23026,23002,24
Physcomitrium_patens,47721,47721,15652,414,65,65,0
Chlamydomonas_reinhardtii,18551,18550,5168,688,410,409,1
Candida_glabrata,5189,5189,2995,67,54,54,0
Saccharomyces_cerevisiae,6038,6020,5658,5426,5303,5273,30
Zygosaccharomyces_rouxii,4987,4987,2783,5,5,5,0
